[INFO ] [2023-07-27 01:50:53,310] Pre-condition - Step 01: Open browser
[INFO ] [2023-07-27 01:50:57,159] User_01_Register - Step 01: Click to RegisterLink
[INFO ] [2023-07-27 01:50:59,465] User_01_Register - Step 01: Click to Button Register
[INFO ] [2023-07-27 01:51:06,982] Pre-condition - Step 01: Open browser
[INFO ] [2023-07-27 01:51:11,970] User_01_Register - Step 01: Click to RegisterLink
[INFO ] [2023-07-27 01:51:13,315] User_01_Register - Step 01: Click to Button Register
[INFO ] [2023-07-27 02:23:01,312]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:02,420]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:03,687]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:05,336]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:17,016]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:18,165]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:19,516]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:23:21,333]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:22,816]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:24,613]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:27,244]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:30,150]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:41,404]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:42,621]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:44,063]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:25:45,781]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:31:05,983]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:31:07,098]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:31:08,252]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:31:09,824]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:33:39,519]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-07-27 02:33:41,999]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:33:43,159]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:33:44,586]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:33:46,232]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-07-27 02:33:55,536]  -------------------------- FAILED -------------------------- 
